epoch,accuracy,train_loss,test_loss
0,0.63,0.881205397,0.577859908
1,0.67,0.52336332,0.528632144
2,0.7,0.41292358,0.584844672
3,0.73,0.241931409,0.668193335
4,0.64,0.219979383,0.712955318
5,0.69,0.198475881,1.343871031
6,0.71,0.129148721,0.747023015
7,0.68,0.08918163,1.289322704
8,0.68,0.050385307,1.211418284
9,0.66,0.045230051,1.820164945
10,0.68,0.028364349,0.99401145
